RowId,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_RAIN,Hour,DayOfWeek,Month,CLOUD_algumas nuvens,CLOUD_c̩u claro,CLOUD_c̩u limpo,CLOUD_c̩u pouco nublado,CLOUD_nublado,CLOUD_nuvens dispersas,CLOUD_nuvens quebradas,CLOUD_nuvens quebrados,CLOUD_sem observa̤̣o,CLOUD_tempo nublado
1,41.5,11.5,71.4,2.0,15.0,1019.0,100.0,3.0,0,7,3,8,False,False,False,False,False,False,False,False,True,False
2,41.7,48.3,87.4,2.0,21.0,1021.0,53.0,5.0,0,14,4,8,False,True,False,False,False,False,False,False,False,False
3,38.6,38.4,85.2,2.0,26.0,1014.0,61.0,4.0,0,16,6,9,False,False,False,False,False,False,False,False,True,False
4,37.4,61.0,94.1,2.0,18.0,1025.0,48.0,4.0,0,11,1,2,False,True,False,False,False,False,False,False,False,False
5,41.6,50.4,77.0,2.0,15.0,1008.0,82.0,10.0,0,12,3,6,False,False,False,False,False,False,False,False,True,False
6,52.4,5.6,68.5,1.0,13.0,1014.0,72.0,4.0,0,7,3,11,False,False,False,False,False,True,False,False,False,False
7,45.7,4.0,79.8,0.0,16.0,1020.0,58.0,0.0,0,21,2,10,False,True,False,False,False,False,False,False,False,False
8,40.9,11.8,87.8,2.0,19.0,1014.0,64.0,5.0,0,19,5,8,False,True,False,False,False,False,False,False,False,False
9,36.4,10.6,72.6,2.0,21.0,1019.0,82.0,5.0,0,12,6,6,False,False,False,True,False,False,False,False,False,False
10,34.8,10.1,84.4,2.0,19.0,1018.0,55.0,3.0,0,9,5,4,False,False,True,False,False,False,False,False,False,False
11,42.5,14.1,75.1,0.0,18.0,1015.0,100.0,1.0,1,22,6,8,False,False,False,False,False,False,False,False,True,False
12,46.8,2.4,75.5,2.0,14.0,1017.0,100.0,11.0,0,6,3,7,False,False,False,False,False,False,False,False,True,False
13,40.9,10.1,87.9,0.0,9.0,1017.0,81.0,5.0,0,7,6,1,True,False,False,False,False,False,False,False,False,False
14,41.8,18.8,81.5,2.0,15.0,1021.0,67.0,2.0,0,14,4,1,False,True,False,False,False,False,False,False,False,False
15,45.1,4.0,78.0,0.0,12.0,1021.0,100.0,1.0,0,4,4,9,False,False,False,True,False,False,False,False,False,False
16,39.3,5.0,90.0,0.0,11.0,1023.0,100.0,4.0,0,22,4,2,False,False,False,False,False,False,False,True,False,False
17,46.0,7.1,83.5,0.0,18.0,1016.0,40.0,5.0,0,5,6,9,False,False,False,False,False,False,False,False,True,False
18,37.5,0.8,67.8,0.0,11.0,1030.0,100.0,2.0,0,22,6,12,False,False,False,False,False,False,False,False,True,False
19,44.7,2.5,68.2,0.0,15.0,1024.0,87.0,6.0,0,21,6,12,False,False,False,False,False,False,False,True,False,False
20,35.7,10.9,105.3,2.0,16.0,1019.0,67.0,5.0,0,14,6,2,True,False,False,False,False,False,False,False,False,False
21,43.3,4.8,84.7,0.0,15.0,1012.0,100.0,6.0,0,22,5,11,False,False,False,False,False,False,False,True,False,False
