RowId,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,AVERAGE_RAIN,Hour,DayOfWeek,Month,Is_Weekend,Is_Rush_Hour
1,Medium,41.5,11.5,71.4,LIGHT,15.0,1019.0,100.0,3.0,sem observação,sem chuva,7,3,8,0,1
2,High,41.7,48.3,87.4,LIGHT,21.0,1021.0,53.0,5.0,céu claro,sem chuva,14,4,8,0,0
3,High,38.6,38.4,85.2,LIGHT,26.0,1014.0,61.0,4.0,sem observação,sem chuva,16,6,9,1,0
4,High,37.4,61.0,94.1,LIGHT,18.0,1025.0,48.0,4.0,céu claro,sem chuva,11,1,2,0,0
5,Medium,41.6,50.4,77.0,LIGHT,15.0,1008.0,82.0,10.0,sem observação,sem chuva,12,3,6,0,0
6,Medium,52.4,5.6,68.5,LOW_LIGHT,13.0,1014.0,72.0,4.0,nuvens dispersas,sem chuva,7,3,11,0,1
7,None_Existent,45.7,4.0,79.8,DARK,16.0,1020.0,58.0,0.0,céu claro,sem chuva,21,2,10,0,0
8,Low,40.9,11.8,87.8,LIGHT,19.0,1014.0,64.0,5.0,céu claro,sem chuva,19,5,8,1,1
9,Low,36.4,10.6,72.6,LIGHT,21.0,1019.0,82.0,5.0,céu pouco nublado,sem chuva,12,6,6,1,0
10,Low,34.8,10.1,84.4,LIGHT,19.0,1018.0,55.0,3.0,céu limpo,sem chuva,9,5,4,1,1
11,Medium,42.5,14.1,75.1,DARK,18.0,1015.0,100.0,1.0,sem observação,chuva fraca,22,6,8,1,0
12,Low,46.8,2.4,75.5,LIGHT,14.0,1017.0,100.0,11.0,sem observação,sem chuva,6,3,7,0,0
13,Low,40.9,10.1,87.9,DARK,9.0,1017.0,81.0,5.0,algumas nuvens,sem chuva,7,6,1,1,1
14,Medium,41.8,18.8,81.5,LIGHT,15.0,1021.0,67.0,2.0,céu claro,sem chuva,14,4,1,0,0
15,None_Existent,45.1,4.0,78.0,DARK,12.0,1021.0,100.0,1.0,céu pouco nublado,sem chuva,4,4,9,0,0
16,None_Existent,39.3,5.0,90.0,DARK,11.0,1023.0,100.0,4.0,nuvens quebrados,sem chuva,22,4,2,0,0
17,None_Existent,46.0,7.1,83.5,DARK,18.0,1016.0,40.0,5.0,sem observação,sem chuva,5,6,9,1,0
18,None_Existent,37.5,0.8,67.8,DARK,11.0,1030.0,100.0,2.0,sem observação,sem chuva,22,6,12,1,0
19,Low,44.7,2.5,68.2,DARK,15.0,1024.0,87.0,6.0,nuvens quebrados,sem chuva,21,6,12,1,0
20,Low,35.7,10.9,105.3,LIGHT,16.0,1019.0,67.0,5.0,algumas nuvens,sem chuva,14,6,2,1,0
21,Low,43.3,4.8,84.7,DARK,15.0,1012.0,100.0,6.0,nuvens quebrados,sem chuva,22,5,11,1,0
22,None_Existent,39.7,2.0,72.0,DARK,24.0,1020.0,32.0,4.0,sem observação,sem chuva,23,4,9,0,0
23,Medium,40.9,35.9,77.7,LIGHT,20.0,1018.0,82.0,6.0,sem observação,chuva fraca,16,0,4,0,0
24,Medium,43.0,30.7,89.3,DARK,22.0,1020.0,37.0,1.0,céu claro,sem chuva,19,2,10,0,1
25,Very_High,43.1,113.5,86.2,LIGHT,22.0,1011.0,94.0,7.0,sem observação,chuva fraca,18,3,8,0,1
26,High,40.8,25.9,81.9,DARK,14.0,1014.0,93.0,0.0,nuvens quebrados,sem chuva,19,4,10,0,1
27,Medium,35.6,26.7,89.8,LIGHT,22.0,1016.0,83.0,3.0,céu pouco nublado,sem chuva,19,5,7,1,1
28,High,33.8,136.9,93.6,LIGHT,20.0,1019.0,77.0,3.0,nuvens quebrados,sem chuva,12,0,8,0,0
